username,name,founder_url,company_link,title,time,location,company_id,com_name,com_description,com_vertical,com_industry,com_location,com_city,com_state,com_country,com_follower,com_employee,origin,founder,company,com_year
hazimmohamad,Hazim Mohamad,https://www.linkedin.com/in/hazimmohamad/,https://www.linkedin.com/company/89560630/,Co-Founder & CEO,Jan 2024 - Present,San Francisco Bay Area,89560630,CoffeeSpace,AI-powered matching for cofounders & early hires. Featured on TechCrunch & Tech in Asia. Proudly part of StartX S25.,Social Networking Platforms,Professional Networking,"San Francisco, California",San Francisco,California,United States,6K followers,2-10 employees,Malaysia,[Hazim Mohamad](https://www.linkedin.com/in/hazimmohamad/),[CoffeeSpace](https://www.linkedin.com/company/89560630/),2024
fengru,Fengru L.,https://www.linkedin.com/in/fengru/,https://www.linkedin.com/company/23722841/,Founder & CEO,Jan 2019 - Present,Singapore,23722841,TurtleTree,"We created LF+, the world’s first vegan lactoferrin. Partner, invest, and join the health revolution.",Biotechnology Research,Biotechnology,"Sacramento , California",Sacramento,California,United States,19K followers,11-50 employees,Singapore,[Fengru L.](https://www.linkedin.com/in/fengru/),[TurtleTree](https://www.linkedin.com/company/23722841/),2019
minhantan,Min-Han Tan,https://www.linkedin.com/in/minhantan/,https://www.linkedin.com/company/13327094/,CEO and Medical Director,Mar 2017 - Present,"Palo Alto, California, United States",13327094,Lucence,Overcoming cancer through earlier detection,Biotechnology Research,Biotechnology,"Palo Alto, California",,California,United States,14K followers,51-200 employees,Singapore,[Min-Han Tan](https://www.linkedin.com/in/minhantan/),[Lucence](https://www.linkedin.com/company/13327094/),2017
keechin,Keechin Goh,https://www.linkedin.com/in/keechin/,https://www.linkedin.com/company/18706840/,Co-Founder & CEO,Jan 2020 - Present,San Francisco Bay Area,18706840,Datature,Powering Breakthrough AI with MLOps.,Machine Learning Software,AI,"San Francisco, California",San Francisco,California,United States,,11-50 employees,Singapore,[Keechin Goh](https://www.linkedin.com/in/keechin/),[Datature](https://www.linkedin.com/company/18706840/),2020
karenzytay,Karen Tay,https://www.linkedin.com/in/karenzytay/,https://www.linkedin.com/company/103003613/,Founder,Jun 2024 - Present,San Francisco Bay Area,103003613,Inherent Journey,"Resources, training and support to confidently navigate transitions and adversities as a professional woman.",Professional Training and Coaching,Edtech,,,,United States,71  followers,2-10 employees,Singapore,[Karen Tay](https://www.linkedin.com/in/karenzytay/),[Inherent Journey](https://www.linkedin.com/company/103003613/),2024
thaidn,Thai Duong,https://www.linkedin.com/in/thaidn/,https://www.linkedin.com/company/90497523/,Chief,Apr 2023 - Present,"Sunnyvale, California, United States",90497523,Calif,"Hackers gonna hack, be prepped",Computer and Network Security,Cybersecurity,"Sunnyvale, CA",Sunnyvale,California,United States,3K followers,11-50 employees,Vietnam,[Thai Duong](https://www.linkedin.com/in/thaidn/),[Calif](https://www.linkedin.com/company/90497523/),2023
aphtrinh,An Trinh,https://www.linkedin.com/in/aphtrinh/,https://www.linkedin.com/company/90497523/,"Tech Lead, Co-Founder",Nov 2020 - Present,,90497523,Calif,"Hackers gonna hack, be prepped",Computer and Network Security,Cybersecurity,"Sunnyvale, CA",Sunnyvale,California,United States,3K followers,11-50 employees,Vietnam,[An Trinh](https://www.linkedin.com/in/aphtrinh/),[Calif](https://www.linkedin.com/company/90497523/),2020
jonathanlowhy,Jonathan Low,https://www.linkedin.com/in/jonathanlowhy/,https://www.linkedin.com/company/105658647/,Co-founder & CEO,Feb 2025 - Present,"San Francisco, California, United States",105658647,Zapi,Zapi is an AI copilot for product teams. Zapi writes your PRDs and turns them into interactive prototypes in minutes.,Software Development,AI,,,,United States,110 followers,2-10 employees,Singapore,[Jonathan Low](https://www.linkedin.com/in/jonathanlowhy/),[Zapi](https://www.linkedin.com/company/105658647/),2025
zhuoyun-iris-li,Iris Li,https://www.linkedin.com/in/zhuoyun-iris-li/,https://www.linkedin.com/company/105417118/,Founder and Managing Director,Oct 2024 - Present,"California, United States",105417118,New Frontier Enterprises,We seek to partner with great business for the long term.,Funds and Trusts,Fintech,"Los Altos, California",Los Altos,California,United States,38 followers,2-10 employees,Singapore,[Iris Li](https://www.linkedin.com/in/zhuoyun-iris-li/),[New Frontier Enterprises](https://www.linkedin.com/company/105417118/),2024
aihui,Aihui Ong (i-we),https://www.linkedin.com/in/aihui/,https://www.linkedin.com/company/105591526/,CEO & Co-Founder,May 2024 - Present,San Francisco Bay Area,105591526,EasyMate AI,Your AI Tech Team in a box,"Technology, Information and Internet",AI,,San Francisco,California,United States,305 followers,11-50 employees,Singapore,[Aihui Ong (i-we)](https://www.linkedin.com/in/aihui/),[EasyMate AI](https://www.linkedin.com/company/105591526/),2024
